compound,start_value,end_value,delta,normalize_delta
C00001,1000,0,-1000,1.0
C00002,500,0,-500,1.0
C00003,10,0,-10,1.0
C00004,100,82,-18,0.18
C00005,62,251,189,3.04839
C00006,195,1,-194,0.99487
C00007,100,0,-100,1.0
C00008,595,621,26,0.0437
C00009,100,2645,2545,25.45
C00010,123,3367,3244,26.37398
C00011,1350,11454,10104,7.48444
C00012,100,107,7,0.07
C00013,100,3059,2959,29.59
C00014,10000,13187,3187,0.3187
C00015,100,1439,1339,13.39
C00016,100,0,-100,1.0
C00017,100,0,-100,1.0
C00018,100,238,138,1.38
C00019,100,0,-100,1.0
C00020,955,2638,1683,1.7623
C00021,100,123,23,0.23
C00022,2670,3948,1278,0.47865
C00023,100,100,0,0.0
C00024,300,0,-300,1.0
C00025,100,0,-100,1.0
C00026,180,0,-180,1.0
C00027,100,0,-100,1.0
C00028,100,0,-100,1.0
C16722,100,52,-48,0.48
C00029,100,0,-100,1.0
C00030,100,200,100,1.0
C00031,220000,220993,993,0.00451
C00032,100,141,41,0.41
C00033,100,1496,1396,13.96
C00034,100,100,0,0.0
C00035,100,749,649,6.49
C00036,680,947,267,0.39265
C00037,100,307,207,2.07
C00038,100,100,0,0.0
C00039,100,174,74,0.74
C00040,100,0,-100,1.0
C00041,100,598,498,4.98
C00042,190,551,361,1.9
C00043,100,0,-100,1.0
C00044,100,0,-100,1.0
C00045,100,3,-97,0.97
C05167,100,107,7,0.07
C00047,100,0,-100,1.0
C00048,100,572,472,4.72
C00049,1340,1252,-88,0.06567
C00050,100,100,0,0.0
C00051,100,0,-100,1.0
C00052,100,0,-100,1.0
C00053,100,0,-100,1.0
C00054,100,296,196,1.96
C00055,100,1177,1077,10.77
C00058,100,590,490,4.9
C00059,100,270,170,1.7
C00060,100,639,539,5.39
C00061,100,174,74,0.74
C00062,100,1,-99,0.99
C00063,100,0,-100,1.0
C00064,100,0,-100,1.0
C00065,100,0,-100,1.0
C00066,100,193,93,0.93
C00067,100,238,138,1.38
C00068,100,0,-100,1.0
C00069,100,371,271,2.71
C00070,100,100,0,0.0
C00071,100,368,268,2.68
C00072,100,2,-98,0.98
C00073,100,279,179,1.79
C00074,2670,2757,87,0.03258
C00075,100,0,-100,1.0
C00076,100,100,0,0.0
C00077,100,55,-45,0.45
C00078,100,1,-99,0.99
C00079,100,0,-100,1.0
C00080,100,2020,1920,19.2
C00081,100,0,-100,1.0
C00082,100,0,-100,1.0
C00083,100,0,-100,1.0
C00084,100,671,571,5.71
C00085,600,737,137,0.22833
C00086,100,181,81,0.81
C00087,100,45,-55,0.55
C00088,100,183,83,0.83
C00089,100,0,-100,1.0
C00090,100,375,275,2.75
C15571,100,100,0,0.0
C00091,100,0,-100,1.0
C00092,3480,3573,93,0.02672
C00093,100,1,-99,0.99
C00094,100,151,51,0.51
C00095,230000,230296,296,0.00129
C00096,100,0,-100,1.0
C00097,100,0,-100,1.0
C00099,100,124,24,0.24
C00100,100,142,42,0.42
C00101,100,227,127,1.27
C00102,100,100,0,0.0
C00103,100,340,240,2.4
C00104,100,190,90,0.9
C00105,100,394,294,2.94
C00106,100,353,253,2.53
C00107,100,100,0,0.0
C00108,100,77,-23,0.23
C00109,100,42,-58,0.58
C00110,100,321,221,2.21
C00111,167,834,667,3.99401
C00112,100,217,117,1.17
C00113,100,77,-23,0.23
C00114,100,107,7,0.07
C00116,100,276,176,1.76
C00117,398,335,-63,0.15829
C00118,218,222,4,0.01835
C00119,100,287,187,1.87
C00120,100,160,60,0.6
C00121,100,286,186,1.86
C00122,100,231,131,1.31
C00123,100,8,-92,0.92
C00124,100,235,135,1.35
C00125,100,0,-100,1.0
C00126,100,200,100,1.0
C00127,100,17,-83,0.83
C00128,100,0,-100,1.0
C00129,100,1,-99,0.99
C00130,100,43,-57,0.57
C00131,100,0,-100,1.0
C00132,100,195,95,0.95
C00133,100,206,106,1.06
C00134,100,27,-73,0.73
C00135,100,0,-100,1.0
C00136,100,70,-30,0.3
C00137,100,143,43,0.43
C00138,100,200,100,1.0
C00139,100,0,-100,1.0
C00140,100,291,191,1.91
C00141,100,261,161,1.61
C00143,100,1,-99,0.99
C00144,100,133,33,0.33
C00145,100,152,52,0.52
C00146,100,105,5,0.05
C15584,100,193,93,0.93
C00147,100,406,306,3.06
C00148,100,65,-35,0.35
C00149,60,0,-60,1.0
C00150,100,100,0,0.0
C00151,100,15,-85,0.85
C00152,100,0,-100,1.0
C00153,100,320,220,2.2
C00154,100,0,-100,1.0
C00155,100,0,-100,1.0
C00156,100,1,-99,0.99
C00157,100,0,-100,1.0
C00158,150,0,-150,1.0
C00159,100,206,106,1.06
C00160,100,54,-46,0.46
C00161,100,148,48,0.48
C00162,100,357,257,2.57
C00163,100,169,69,0.69
